iter	Passed	Remaining
0	2	2595
1	4	2475
2	7	2506
3	9	2485
4	13	2587
5	15	2641
6	18	2607
7	21	2624
8	25	2841
9	27	2757
10	30	2733
11	32	2698
12	35	2683
13	37	2661
14	40	2644
15	43	2648
16	45	2647
17	48	2618
18	50	2600
19	52	2580
20	55	2581
21	57	2561
22	60	2549
23	62	2543
24	65	2553
25	68	2560
26	70	2546
27	73	2556
28	76	2546
29	78	2532
30	81	2536
31	83	2536
32	86	2539
33	90	2574
34	93	2566
35	95	2561
36	98	2567
37	101	2558
38	103	2554
39	105	2540
40	108	2532
41	110	2528
42	113	2530
43	116	2529
44	119	2540
45	121	2529
46	124	2523
47	126	2515
48	130	2534
49	132	2525
50	135	2518
51	138	2531
52	141	2523
53	143	2519
54	146	2511
55	148	2503
56	150	2495
57	153	2494
58	157	2504
59	159	2496
60	161	2493
61	164	2494
62	167	2487
63	170	2492
64	173	2492
65	175	2490
66	178	2483
67	180	2476
68	183	2470
69	185	2465
70	188	2462
71	190	2459
72	193	2453
73	195	2451
74	198	2453
75	201	2450
76	203	2444
77	206	2441
78	209	2438
79	212	2449
80	215	2441
81	218	2440
82	220	2434
83	222	2431
84	225	2426
85	227	2419
86	230	2416
87	232	2410
88	235	2405
89	237	2400
90	240	2398
91	242	2394
92	245	2390
93	248	2392
94	250	2386
95	253	2382
96	255	2381
97	258	2375
98	260	2372
99	263	2368
100	266	2367
101	268	2364
102	271	2368
103	275	2369
104	277	2365
105	281	2376
106	284	2373
107	286	2369
108	289	2366
109	292	2364
110	296	2370
111	298	2363
112	300	2359
113	303	2356
114	305	2351
115	307	2345
116	310	2340
117	312	2335
118	314	2331
119	317	2331
120	320	2328
121	323	2325
122	325	2322
123	328	2321
124	330	2316
125	333	2314
126	336	2315
127	340	2319
128	342	2314
129	345	2309
130	347	2306
131	349	2300
132	352	2296
133	354	2292
134	357	2289
135	360	2288
136	363	2289
137	365	2285
138	368	2282
139	371	2279
140	373	2275
141	375	2271
142	378	2270
143	381	2266
144	383	2262
145	385	2257
146	388	2253
147	391	2251
148	398	2273
149	400	2269
150	403	2266
151	405	2261
152	407	2257
153	410	2252
154	412	2249
155	415	2246
156	419	2251
157	421	2247
158	424	2244
159	428	2247
160	430	2242
161	435	2250
162	437	2247
163	440	2243
164	443	2245
165	445	2240
166	448	2235
167	452	2239
168	454	2235
169	456	2230
170	460	2232
171	463	2229
172	465	2224
173	467	2219
174	469	2215
175	472	2212
176	474	2207
177	477	2204
178	479	2200
179	482	2197
180	484	2193
181	487	2192
182	490	2189
183	492	2184
184	494	2180
185	497	2177
186	500	2175
187	502	2171
188	505	2169
189	509	2170
190	511	2168
191	515	2167
192	517	2163
193	519	2159
194	522	2156
195	524	2153
196	527	2149
197	529	2144
198	531	2140
199	534	2137
200	536	2134
201	539	2132
202	542	2128
203	544	2124
204	547	2124
205	550	2121
206	552	2118
207	555	2114
208	557	2111
209	560	2108
210	563	2105
211	566	2104
212	569	2103
213	572	2101
214	575	2099
215	577	2096
216	579	2092
217	582	2088
218	584	2085
219	587	2082
220	589	2079
221	592	2075
222	594	2072
223	597	2070
224	600	2068
225	602	2064
226	605	2062
227	607	2058
228	610	2055
229	612	2051
230	615	2049
231	618	2046
232	620	2042
233	623	2039
234	625	2036
235	628	2033
236	630	2031
237	633	2028
238	636	2027
239	639	2025
240	641	2021
241	644	2019
242	646	2015
243	649	2013
244	652	2011
245	655	2008
246	659	2009
247	661	2006
248	664	2002
249	666	1999
250	668	1996
251	671	1992
252	673	1989
253	676	1986
254	679	1984
255	683	1986
256	685	1983
257	688	1979
258	690	1976
259	693	1974
260	696	1971
261	699	1969
262	701	1966
263	704	1963
264	707	1961
265	709	1958
266	712	1955
267	716	1956
268	718	1952
269	725	1961
270	728	1958
271	730	1955
272	735	1957
273	737	1953
274	740	1951
275	742	1948
276	745	1944
277	748	1943
278	751	1942
279	754	1940
280	756	1936
281	759	1933
282	761	1929
283	763	1925
284	766	1923
285	769	1920
286	771	1917
287	774	1913
288	776	1909
289	778	1906
290	780	1902
291	783	1899
292	785	1896
293	788	1893
294	790	1890
295	793	1886
296	795	1883
297	798	1879
298	800	1877
299	803	1874
300	806	1873
301	809	1871
302	812	1868
303	814	1865
304	818	1864
305	820	1860
306	822	1857
307	825	1854
308	827	1850
309	829	1847
310	832	1843
311	835	1842
312	837	1839
313	840	1836
314	842	1833
315	845	1829
316	847	1826
317	850	1823
318	852	1819
319	855	1817
320	857	1813
321	860	1810
322	862	1807
323	864	1804
324	867	1801
325	870	1798
326	872	1796
327	875	1793
328	878	1791
329	880	1788
330	883	1785
331	885	1782
332	888	1778
333	890	1776
334	893	1774
335	896	1771
336	898	1768
337	902	1767
338	905	1765
339	908	1763
340	910	1760
341	913	1757
342	915	1754
343	918	1751
344	920	1748
345	923	1745
346	926	1744
347	929	1740
348	931	1738
349	934	1736
350	937	1734
351	940	1731
352	943	1728
353	945	1725
354	947	1722
355	950	1719
356	953	1717
357	956	1715
358	959	1712
359	961	1709
360	964	1706
361	966	1703
362	969	1700
363	971	1698
364	974	1695
365	976	1692
366	979	1689
367	984	1691
368	987	1688
369	990	1685
370	992	1683
371	995	1680
372	998	1678
373	1000	1675
374	1003	1671
375	1005	1669
376	1008	1666
377	1010	1663
378	1012	1659
379	1015	1656
380	1017	1653
381	1020	1651
382	1023	1648
383	1025	1645
384	1027	1641
385	1030	1639
386	1034	1638
387	1036	1635
388	1040	1633
389	1042	1630
390	1045	1627
391	1047	1625
392	1049	1621
393	1052	1619
394	1055	1616
395	1058	1614
396	1061	1611
397	1064	1609
398	1066	1607
399	1070	1605
400	1078	1610
401	1080	1608
402	1084	1606
403	1087	1603
404	1089	1601
405	1092	1598
406	1094	1595
407	1098	1593
408	1100	1590
409	1103	1587
410	1105	1584
411	1108	1581
412	1111	1579
413	1113	1576
414	1116	1573
415	1118	1569
416	1120	1567
417	1123	1564
418	1126	1561
419	1128	1558
420	1130	1555
421	1133	1552
422	1136	1549
423	1138	1546
424	1141	1544
425	1144	1541
426	1146	1538
427	1149	1535
428	1151	1533
429	1154	1530
430	1157	1528
431	1160	1526
432	1163	1523
433	1165	1520
434	1168	1517
435	1170	1514
436	1173	1511
437	1176	1509
438	1178	1506
439	1181	1503
440	1183	1500
441	1186	1497
442	1190	1497
443	1193	1494
444	1195	1491
445	1198	1489
446	1201	1486
447	1204	1483
448	1206	1480
449	1209	1478
450	1211	1474
451	1214	1472
452	1218	1471
453	1221	1469
454	1224	1466
455	1227	1463
456	1229	1461
457	1232	1458
458	1234	1455
459	1236	1451
460	1239	1448
461	1241	1445
462	1243	1442
463	1247	1440
464	1249	1437
465	1251	1434
466	1254	1431
467	1256	1428
468	1258	1425
469	1261	1422
470	1264	1419
471	1266	1416
472	1269	1413
473	1271	1411
474	1275	1409
475	1278	1406
476	1280	1404
477	1283	1401
478	1285	1397
479	1288	1395
480	1290	1392
481	1293	1389
482	1295	1386
483	1298	1384
484	1300	1380
485	1302	1377
486	1305	1374
487	1309	1373
488	1311	1370
489	1315	1368
490	1317	1366
491	1320	1363
492	1323	1360
493	1325	1357
494	1328	1355
495	1330	1352
496	1333	1349
497	1335	1346
498	1338	1343
499	1340	1340
500	1343	1337
501	1346	1335
502	1349	1333
503	1352	1331
504	1354	1328
505	1357	1325
506	1359	1322
